source,contract_type
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.txt,Transportation Agreement
VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT.txt,Supply Agreement
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3).txt,Collaboration Agreement
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement
ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT.txt,Supply Agreement
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.txt,Distribution Agreement
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.txt,Maintenance Agreement
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.txt,Hosting Agreement
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT.txt",Manufacturing Agreement
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.txt",Joint Venture Agreement
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT.txt",Maintenance Agreement
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.txt,License Agreement
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.txt,Affiliate Agreement
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement.txt,Distribution Agreement
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.txt,Cooperation Agreement
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.txt,Distribution Agreement
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.txt,Maintenance Agreement
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.txt,Manufacturing Agreement
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.txt,Marketing Agreement
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.txt",Distribution Agreement
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.txt,Other
"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT.txt",Sponsorship Agreement
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.txt,Franchise Agreement
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.txt",Service Agreement
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT.txt,Intellectual Property Agreement
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement2.txt,Franchise Agreement
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.txt,License Agreement
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement.txt",Strategic Alliance Agreement
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.txt,Affiliate Agreement
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.txt,Endorsement Agreement
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.txt,License Agreement
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3.txt,Franchise Agreement
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.txt,Cooperation Agreement
"XLITECHNOLOGIES,INC_12_11_2015-EX-10.1-Sponsorship Agreement.txt",Sponsorship Agreement
"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT.txt",Distribution Agreement
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT.txt,Reseller Agreement
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.txt,Affiliate Agreement
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.txt,Affiliate Agreement
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.txt,Transportation Agreement
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.txt,Service Agreement
XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT.txt,Sponsorship Agreement
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.txt,License Agreement
TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT.txt,Endorsement Agreement
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT.txt",Other
